"","Package","Built"
"1","acepack","3.4.3"
"2","assertthat","3.4.3"
"3","backports","3.4.1"
"4","base64enc","3.4.1"
"5","BH","3.4.1"
"6","bindr","3.4.3"
"7","bindrcpp","3.4.3"
"8","bitops","3.4.1"
"9","broom","3.4.3"
"10","callr","3.4.3"
"11","car","3.4.1"
"12","caTools","3.4.3"
"13","cellranger","3.4.3"
"14","checkmate","3.4.3"
"15","chron","3.4.3"
"16","cli","3.4.3"
"17","clipr","3.4.3"
"18","clisymbols","3.4.3"
"19","coda","3.4.1"
"20","coin","3.4.2"
"21","colorspace","3.4.3"
"22","crayon","3.4.3"
"23","curl","3.4.3"
"24","data.table","3.4.3"
"25","DBI","3.4.3"
"26","dbplyr","3.4.3"
"27","desc","3.4.3"
"28","dichromat","3.4.1"
"29","digest","3.4.3"
"30","dplyr","3.4.3"
"31","emmeans","3.4.3"
"32","enc","3.4.3"
"33","estimability","3.4.1"
"34","evaluate","3.4.3"
"35","exactRankTests","3.4.2"
"36","forcats","3.4.3"
"37","Formula","3.4.1"
"38","fs","3.4.3"
"39","gdtools","3.4.3"
"40","ggplot2","3.4.3"
"41","gh","3.4.3"
"42","git2r","3.4.3"
"43","glue","3.4.3"
"44","gridExtra","3.4.3"
"45","gtable","3.4.3"
"46","haven","3.4.3"
"47","here","3.4.3"
"48","highr","3.4.3"
"49","Hmisc","3.4.3"
"50","hms","3.4.3"
"51","htmlTable","3.4.3"
"52","htmltools","3.4.3"
"53","htmlwidgets","3.4.3"
"54","httpuv","3.4.3"
"55","httr","3.4.3"
"56","ini","3.4.3"
"57","installr","3.4.3"
"58","jsonlite","3.4.3"
"59","knitr","3.4.3"
"60","labeling","3.4.1"
"61","latticeExtra","3.4.3"
"62","lazyeval","3.4.3"
"63","learnr","3.4.3"
"64","lme4","3.4.1"
"65","lmerTest","3.4.3"
"66","lsmeans","3.4.3"
"67","lubridate","3.4.3"
"68","magrittr","3.4.3"
"69","markdown","3.4.3"
"70","MatrixModels","3.4.1"
"71","mime","3.4.1"
"72","minqa","3.4.1"
"73","mnormt","3.4.1"
"74","modelr","3.4.3"
"75","modeltools","3.4.1"
"76","multcomp","3.4.1"
"77","munsell","3.4.3"
"78","mvtnorm","3.4.1"
"79","nloptr","3.4.1"
"80","officer","3.4.3"
"81","openssl","3.4.3"
"82","packrat","3.4.0"
"83","pbkrtest","3.4.1"
"84","pkgconfig","3.4.3"
"85","plogr","3.4.3"
"86","plyr","3.4.3"
"87","png","3.4.1"
"88","psych","3.4.3"
"89","purrr","3.4.3"
"90","quantreg","3.4.1"
"91","R.methodsS3","3.4.1"
"92","R.oo","3.4.1"
"93","R.utils","3.4.3"
"94","R2wd","3.4.1"
"95","R6","3.4.3"
"96","rappdirs","3.4.3"
"97","RColorBrewer","3.4.1"
"98","Rcpp","3.4.3"
"99","RcppEigen","3.4.1"
"100","readr","3.4.3"
"101","readxl","3.4.3"
"102","rematch","3.4.3"
"103","rematch2","3.4.3"
"104","ReporteRs","3.4.3"
"105","ReporteRsjars","3.4.2"
"106","reprex","3.4.3"
"107","reshape2","3.4.3"
"108","rJava","3.4.2"
"109","rlang","3.4.3"
"110","rmarkdown","3.4.2"
"111","rprojroot","3.4.3"
"112","rstudioapi","3.4.3"
"113","rvest","3.4.3"
"114","rvg","3.4.3"
"115","sandwich","3.4.1"
"116","SASxport","3.4.1"
"117","scales","3.4.3"
"118","selectr","3.4.3"
"119","shiny","3.4.3"
"120","sourcetools","3.4.3"
"121","SparseM","3.4.1"
"122","stringi","3.4.2"
"123","stringr","3.4.2"
"124","styler","3.4.3"
"125","TH.data","3.4.1"
"126","tibble","3.4.3"
"127","tidyr","3.4.3"
"128","tidyselect","3.4.3"
"129","tidyverse","3.4.3"
"130","usethis","3.4.3"
"131","uuid","3.4.1"
"132","viridis","3.4.3"
"133","viridisLite","3.4.3"
"134","whisker","3.4.3"
"135","withr","3.4.3"
"136","WordR","3.4.3"
"137","xlsx","3.4.2"
"138","xlsxjars","3.4.2"
"139","xml2","3.4.3"
"140","xtable","3.4.3"
"141","yaml","3.4.3"
"142","zip","3.4.3"
"143","zoo","3.4.3"
